group_id,group_type,phash_hamming_threshold,sha256_or_min_pair_hamming,filename
exact-0198,exact,,c03a8ee0b6bd664234a84e42ae6b63ae7cf9b42d336cd20dbb3d93808844e219,data/DFU/Patches/Normal(Healthy skin)/487.jpg
exact-0199,exact,,dfb51b43a73bf07dd14897cf27eb5352f4f025d91905b0892f21043936492a84,data/DFU/Patches/Normal(Healthy skin)/256.jpg
exact-0199,exact,,dfb51b43a73bf07dd14897cf27eb5352f4f025d91905b0892f21043936492a84,data/DFU/Patches/Normal(Healthy skin)/512.jpg
exact-0200,exact,,3a80b26d3546d6c888f29d2c17a00b64865fa648e830473c5c17a4109dcb6dd1,data/DFU/Patches/Normal(Healthy skin)/257.jpg
exact-0200,exact,,3a80b26d3546d6c888f29d2c17a00b64865fa648e830473c5c17a4109dcb6dd1,data/DFU/Patches/Normal(Healthy skin)/488.jpg
exact-0201,exact,,27433d02315bde51ad3c8bd15e537733254e680c1bff770892e244f3048322ea,data/DFU/Patches/Normal(Healthy skin)/258.jpg
exact-0201,exact,,27433d02315bde51ad3c8bd15e537733254e680c1bff770892e244f3048322ea,data/DFU/Patches/Normal(Healthy skin)/511.jpg
exact-0202,exact,,283ecbdc1760855326edc8e724d131e1bfecc0781b0829a87c73a73e9bcb054f,data/DFU/Patches/Normal(Healthy skin)/259.jpg
exact-0202,exact,,283ecbdc1760855326edc8e724d131e1bfecc0781b0829a87c73a73e9bcb054f,data/DFU/Patches/Normal(Healthy skin)/510.jpg
exact-0203,exact,,c7220f1b9ff2efb0ba455a9c3634be8ead0111e2063595faa492a7ed2dd2abdd,data/DFU/Patches/Normal(Healthy skin)/260.jpg
exact-0203,exact,,c7220f1b9ff2efb0ba455a9c3634be8ead0111e2063595faa492a7ed2dd2abdd,data/DFU/Patches/Normal(Healthy skin)/514.jpg
exact-0204,exact,,6df0348c23066b75456087a28e0d7396eeabfde6b559cd9b4b112a4744bc8a96,data/DFU/Patches/Normal(Healthy skin)/261.jpg
exact-0204,exact,,6df0348c23066b75456087a28e0d7396eeabfde6b559cd9b4b112a4744bc8a96,data/DFU/Patches/Normal(Healthy skin)/470 (2).jpg
exact-0205,exact,,1962285febfd3336493d625f8778febec2dc0c67533697d089dd9fcb34734d3b,data/DFU/Patches/Normal(Healthy skin)/262.jpg
exact-0205,exact,,1962285febfd3336493d625f8778febec2dc0c67533697d089dd9fcb34734d3b,data/DFU/Patches/Normal(Healthy skin)/471.jpg
